city,name,nameEn,nameLocal,theme,durationMin,priceJpy,summary,why,caution,booking,busy,closed,hours,tags,lat,lon,wikidata,popularity
ryogoku,구 야스다 정원,Former Yasuda Garden,旧安田庭園,nature,25,0,국기관 옆 무료 일본 정원,국기관 옆의 작은 회유식 정원으로 무료입니다. 옛날에는 스미다가와 조수를 끌어 연못을 채웠습니다.,,,,,,재방문,35.69836,139.79369,Q11511031,2
ryogoku,료고쿠 에도 노렌,Ryogoku Edo Noren,-両国- 江戸NOREN,food,60,1500,역 옛 건물 안 식당가. 가운데 씨름판,옛 역사 건물에 에도 요리 식당을 모았고 가운데 진짜 규격의 씨름판이 있습니다. 창코·소바·튀김을 고릅니다.,,,,,,local;재방문,35.69619,139.79243,,3
ryogoku,라이온도,Liondo,ライオン堂,shopping,10,,1907년부터 리키시 옷 가게,리키시를 위한 큰 옷을 1907년부터 만드는 가게입니다. 창문 안 거대한 옷을 보는 것만으로 재밌습니다.,,,,,,variety;local;재방문,35.69436,139.79744,,1
akasaka,히에 신사,Hie Shrine,日枝神社,history,30,0,붉은 도리이 계단과 원숭이 상. 에스컬레이터,"에도 성을 지키던 신사로 붉은 도리이가 이어진 계단이 유명합니다. 원숭이 상을 쓰다듬으며 인연을 빌고, 에스컬레이터로도 오릅니다.",,,,,,재방문,35.67472,139.73958,Q702042,5
akasaka,아카사카 사카스,Akasaka Sacas,赤坂サカス,landmark,30,0,TBS 방송국의 광장과 극장,"TBS 방송국 앞 광장과 극장, 식당가입니다. 봄 벚꽃과 겨울 스케이트장 행사가 열립니다.",,,,,,재방문,35.6727,139.736,Q864638,3
akasaka,게이힌칸 아카사카 이궁,State Guest House Akasaka Palace,迎賓館赤坂離宮,landmark,90,1500,네오바로크 궁전. 국빈 접대 자리,국빈을 맞는 궁전으로 일반 공개일에 안을 봅니다. 앞 정원만 보는 표도 있고 수요일은 닫습니다.,,공개일 확인,,수요일 휴관,,재방문,35.68,139.72861,Q555255,4
akasaka,뉴오타니 일본 정원,Hotel New Otani Japanese Garden,ホテルニューオータニ 日本庭園,nature,30,0,호텔 안 400년 된 정원. 무료,호텔 안에 있는 400년 된 정원으로 폭포와 붉은 다리가 있습니다. 투숙객이 아니어도 무료로 걷습니다.,,,,,,재방문,35.67983,139.7341,,3
roppongi,센오쿠 하쿠코칸 도쿄,Sen-oku Hakuko Kan Tokyo,泉屋博古館東京,art,45,1000,스미토모 가의 미술품. 정원 카페,스미토모 가문이 모은 고미술과 근대 회화를 보는 작은 미술관입니다. 정원이 보이는 카페가 좋습니다.,,,,월요일 휴관,,재방문,,,,2
akasaka,아카사카 쓰쓰이,Akasaka Tsutsui,赤坂 津つ井,food,60,3000,1948년부터의 일본식 비프스테이크 덮밥,1948년에 문 연 양식당으로 간장 양념 비프스테이크 덮밥이 대표입니다. 점심 줄이 깁니다.,,,평일 점심 줄,,,comfort;재방문,35.6687,139.73783,,3
akasaka,아카사카 미스지도리,Akasaka Misuji-dori,赤坂みすじ通り,nightlife,90,4000,접대 골목. 노포와 한국 식당,"아카사카의 술집 골목으로 노포 요정과 한국 식당, 바가 섞여 있습니다. 늦게까지 열린 집이 많습니다.",,,,,,izakaya;bar;street;재방문,35.67403,139.73746,,3
akasaka,도라야 아카사카,Toraya Akasaka,とらや 赤坂店,shopping,30,,500년 화과자의 본점. 3층 찻집,교토에서 온 500년 화과자 가게의 도쿄 본점입니다. 3층 찻집에서 양갱과 말차를 먹고 지하 전시를 봅니다.,,,,,,craft;cafe;재방문,,,,4
sugamo,스가모 지조도리 상점가,Sugamo Jizo-dori,巣鴨地蔵通り商店街,shopping,60,0,할머니들의 하라주쿠. 780m 상점가,고간지로 이어지는 780m 상점가로 화과자·빨간 속옷·반찬 가게가 이어집니다. 4·14·24일에는 노점이 늘어납니다.,,,4·14·24일 장날,,,street;local;재방문,35.7388,139.73062,,4
sugamo,간소 시오다이후쿠 미즈노,Ganso Shio Daifuku Mizuno,元祖塩大福みずの,food,10,200,소금 대복의 원조,짭짤한 찹쌀에 팥을 넣은 소금 대복을 처음 만든 가게입니다. 평일에도 줄이 서고 하나씩 삽니다.,,,,,,street;local;재방문,,,,3
sugamo,기후쿠도,Kifukudo,喜福堂,food,10,200,1916년부터의 단팥빵,1916년부터 단팥빵을 굽는 빵집입니다. 미즈노 다음에 들르는 순서가 정해져 있습니다.,,,,,,street;local;재방문,35.73561,139.73493,,2
sugamo,라이진도 스가모 본점,Raijindo Sugamo,雷神堂 巣鴨本店,shopping,10,,손으로 굽는 전병 가게,전병을 하나씩 손으로 구워 파는 가게입니다. 맛이 수십 가지라 골라 담습니다.,,,,,,street;craft;재방문,35.73468,139.73661,,2
sugamo,신쇼지,Shinsho-ji,真性寺,history,10,0,에도 6지장의 하나. 상점가 입구,에도의 여섯 길목을 지키던 지장보살 중 하나가 있는 절로 상점가 입구에 있습니다.,,,,,,재방문,35.78608,140.31831,Q3083875,2
sugamo,리쿠기엔,Rikugien,六義園,nature,60,300,에도 다이묘 정원. 수양벚나무와 단풍 조명,와카의 경치를 본떠 만든 에도 다이묘 정원입니다. 3월 말 수양벚나무와 11월 단풍 야간 조명이 유명합니다.,,,벚꽃·단풍 조명 기간,,,벚꽃;단풍;재방문,35.73239,139.74575,Q124651836,5
sugamo,스가모 도키와 식당,Sugamo Tokiwa Shokudo,巣鴨ときわ食堂,food,45,1200,생선구이 정식의 동네 식당,생선구이와 튀김 정식을 싸게 내는 동네 식당입니다. 스가모에 가게가 여럿이라 줄이 짧은 곳으로 갑니다.,,,,,,comfort;local;재방문,35.73615,139.73405,,3
sugamo,고신즈카 정류장,Koshinzuka Stop,庚申塚停留場,landmark,20,0,도덴 아라카와선 노면전차. 상점가 끝,상점가 끝에 있는 노면전차 정류장입니다. 여기서 도덴 아라카와선을 타고 오지·아라카와 방면으로 옛 동네를 지나갑니다.,,,,,,재방문,35.73961,139.72975,Q11063262,2
sugamo,소메이 영원,Somei Cemetery,染井霊園,nature,30,0,소메이요시노 벚나무의 고향,전국 벚꽃의 대부분인 소메이요시노 품종이 이 동네 정원사들에게서 나왔습니다. 봄에 벚꽃이 조용히 핍니다.,,,,,,벚꽃;재방문,35.738,139.737,Q11533893,2
